Step,Time (min),Cat0,[S],[P]
1,60.0,0.01,0.1908,0.7818
2,150.0,0.008,0.123,0.8267
3,150.0,0.003,0.2755,0.6928
4,80.0,0.002,0.4745,0.5065
5,60.0,0.002,0.554,0.4361
6,180.0,0.004,0.2388,0.7176
7,120.0,0.004,0.2647,0.7202
8,150.0,0.001,0.5302,0.456
9,120.0,0.006,0.1891,0.774
10,120.0,0.008,0.1331,0.825
