Step,Time (min),Cat0,[S],[P]
1,150.0,0.008,0.1281,0.8311
2,60.0,0.01,0.1844,0.7888
3,180.0,0.003,0.2963,0.6951
4,25.0,0.01,0.4405,0.5705
5,300.0,0.003,0.248,0.7128
6,100.0,0.001,0.7164,0.3065
7,300.0,0.002,0.3198,0.6734
8,200.0,0.005,0.1861,0.8111
9,150.0,0.002,0.4266,0.5567
10,25.0,0.008,0.4332,0.5343
