Step,Time (min),Cat0,[S],[P]
1,60.0,0.15,0.662,0.2919
2,120.0,0.1,0.6039,0.3753
3,200.0,0.1,0.4598,0.4986
4,350.0,0.15,0.3145,0.6507
5,250.0,0.2,0.3135,0.6371
6,150.0,0.15,0.4393,0.5311
7,90.0,0.1,0.6695,0.3041
8,180.0,0.175,0.3684,0.5873
9,220.0,0.125,0.397,0.5688
10,300.0,0.1,0.385,0.5942
