Step,Time (min),Cat0,[S],[P]
1,60.0,0.1,0.7554,0.2127
2,300.0,0.15,0.3272,0.6477
3,150.0,0.19,0.3753,0.5647
4,450.0,0.12,0.3151,0.6566
5,90.0,0.19,0.4964,0.4494
6,240.0,0.1,0.4301,0.553
7,180.0,0.135,0.4202,0.5528
8,120.0,0.1,0.6022,0.3686
9,210.0,0.17,0.3498,0.6067
10,150.0,0.105,0.5334,0.4424
