Step,Time (min),Cat0,[S],[P]
1,120.0,0.15,0.4807,0.4799
2,60.0,0.1,0.7458,0.2145
3,30.0,0.2,0.732,0.2044
4,300.0,0.1,0.3795,0.5942
5,180.0,0.12,0.4412,0.5154
6,450.0,0.1,0.331,0.6419
7,180.0,0.1,0.4946,0.4804
8,450.0,0.2,0.2998,0.6478
9,240.0,0.15,0.344,0.6121
10,90.0,0.1,0.6698,0.2966
